errorType,difficultyLevel,sentenceCorpus,correctAnswer
To-infinitive,beginner,Do you want {I} to help you?,{me}
To-infinitive,beginner,Do you want {I} to ask him?,{me}
To-infinitive,beginner,Do you want {we} to leave?,{us}
To-infinitive,beginner,I want {he} to apologize right now.,{him}
To-infinitive,beginner,I don't want {he} to be so unhappy.,{him}
To-infinitive,beginner,Mother wants {we} to help her.,{us}
To-infinitive,beginner,The teacher wants {we} to be quiet.,{us}
To-infinitive,beginner,She wants {we} to study this new grammar.,{us}
To-infinitive,beginner,I don't want {they} to hear us.,{them}
To-infinitive,beginner,I want {they} to know.,{them}
To-infinitive,intermediate,I want {they} to understand why I couldn't stay.,{them}
To-infinitive,intermediate,Does he want {I} to call him back?,{me}
To-infinitive,intermediate,My girlfriend wants {I} to meet her parents.,{me}
To-infinitive,intermediate,We don't want {its} to go wrong.,{it}
To-infinitive,intermediate,He wants {I} to write a letter of complaint to the manager.,{me}
To-infinitive,intermediate,The students wanted {he} to assign less homework.,{him}
To-infinitive,intermediate,She wants {they} to have more time to practice.,{them}
To-infinitive,intermediate,They want {he} to join them for a late dinner.,{him}
To-infinitive,intermediate,I want {he} to disappear and never come back.,{him}
To-infinitive,intermediate,She wants {I} to rescue her from her dull life.,{me}
To-infinitive,advanced,His mother wants {he} to help out around the house but he was always too busy.,{him}
To-infinitive,advanced,Employers want {she} to speak more than one language.,{her}
To-infinitive,advanced,The government wants {they} to know where to go if there is a major earthquake.,{them}
To-infinitive,advanced,"My boss wants {I} to go to the conference in Russia, but I just don't have the time.",{me}
To-infinitive,advanced,His doctor wants {he} to spend more time exercising and less time watching television.,{him}
To-infinitive,advanced,I wanted {they} to wash the car today but I think it might rain.,{them}
To-infinitive,advanced,I want {he} to agree with me but he is too stubborn.,{him}
To-infinitive,advanced,I know you want {I} to finish this project by the end of the week but I am not sure if I can make the deadline.,{me}
To-infinitive,advanced,"She wants {he} to run away with her but she was smart enough to realize that if she wanted happiness, she had to stay and solve her problems.",{him}
To-infinitive,beginner,She asked {I} to stay.,{me}
To-infinitive,beginner,I asked {he} to leave.,{him}
To-infinitive,beginner,The clerk asked {I} to wait.,{me}
To-infinitive,beginner,The doctor asked {he} to cough.,{him}
To-infinitive,beginner,The children asked {they} to play.,{them}
To-infinitive,beginner,They asked {we} to wait for them.,{us}
To-infinitive,beginner,The policeman asked {I} to move the car.,{me}
To-infinitive,beginner,My family asked {I} to stop smoking.,{me}
To-infinitive,beginner,The teacher asked {he} to close the windows.,{him}
To-infinitive,beginner,She asked {I} to meet the deadline.,{me}
To-infinitive,intermediate,I asked {he} to help me and he said he would.,{him}
To-infinitive,intermediate,The local government asks {they} to recycle.,{them}
To-infinitive,intermediate,My son just asked {I} to leave the kitchen.,{me}
To-infinitive,intermediate,The government asked {they} to conserve energy.,{them}
To-infinitive,intermediate,The teacher asked {he} to put away their cellphones.,{him}
To-infinitive,intermediate,They asked {we} to sit in the smoking section.,{us}
To-infinitive,intermediate,The doctor asked {we} to make another appointment for follow-up.,{us}
To-infinitive,intermediate,My husband asked {I} to show him that website.,{me}
To-infinitive,advanced,I asked {she} to save me the last of the tea for my breakfast tomorrow.,{her}
To-infinitive,advanced,My sister asked {I} to come to Florida to help her when her sick husband died.,{me}
To-infinitive,advanced,The librarian asked {he} to return all the overdue books by tomorrow at the latest.,{him}
To-infinitive,advanced,Customers often ask {I} to explain the difference in price and quality between products.,{me}
To-infinitive,advanced,Their neighbor asked {I} to stop making so much noise at night.,{me}
To-infinitive,advanced,"I asked {she} to clean her room, but as usual, she ignored me.",{her}
To-infinitive,advanced,My brother asked {I} to pick up more bananas from the market on my way home.,{me}
To-infinitive,advanced,I asked {he} to rent the new Tom Cruise DVD but he said it wasn't available.,{him}
To-infinitive,advanced,He asked {she} to go to the concert with him and she accepted.,{her}
To-infinitive,advanced,He asked his teacher to allow {he} to retake the test because he was interrupted by the fire drill.,{him}
To-infinitive,beginner,I didn't tell {she} to go.,{her}
To-infinitive,beginner,She told {I} to stop.,{me}
To-infinitive,beginner,The doctor told {I} to exercise.,{me}
To-infinitive,beginner,My boss told {I} to stay late.,{me}
To-infinitive,beginner,My wife told {I} to lose weight.,{me}
To-infinitive,beginner,I told {he} to shut the window.,{him}
To-infinitive,beginner,She told {I} to turn off the lights.,{me}
To-infinitive,beginner,He told {I} to call him Chris.,{me}
To-infinitive,beginner,I told {she} to visit again soon.,{her}
To-infinitive,beginner,She told {he} to stop complaining.,{him}
To-infinitive,intermediate,The repairman told {I} to bring the car in tomorrow.,{me}
To-infinitive,intermediate,Mother always tells {I} to clean my room.,{me}
To-infinitive,intermediate,My teacher always tells {we} to do our homework on time.,{us}
